model,bc,alpha,A,a,b,D0,w,Omega,F,T,N_walkers,x_mean,x_stderr,x_ci_lo,x_ci_hi,x_median,top1pct_share,N_steps_mean,frac_stuck,capped,v_par,D_par,D_perp,eps_theory,Lambda_theory,N_star,N_over_Nstar,valid,x_theory_eq10,x_theory_eq34,eps_meas,Lambda_meas,ndiag,cache_hit_rate
invd2,pbc,0.3,1,1,2,0.4,4,4,0.5,1e+15,200000,13203.2,26.525,13155.2,13246.5,9897,0.0469581,66977.4,1e-05,0,0.197136,0.402451,0.390194,0.788543,0.833837,20.7116,3233.82,0,8330.37,9140.02,nan,nan,0,0.572824
invd2,pbc,0.3,1,1,2,0.4,4,4,0.5,1e+16,200000,26376.8,52.8397,26261.7,26489.9,19820,0.046424,133796,5e-06,0,0.197136,0.402451,0.390194,0.788543,0.833837,20.7116,6459.98,0,16621.3,18236.7,nan,nan,0,0.572824
invd2,pbc,0.3,1,1,2,0.4,4,4,0.5,1e+17,200000,52720.6,105.629,52505.3,52934,39648.5,0.0468019,267430,5e-06,0,0.197136,0.402451,0.390194,0.788543,0.833837,20.7116,12912.1,0,33163.8,36387.1,nan,nan,0,0.572824
invd2,pbc,0.3,1,1,2,0.4,3,3,0.5,1e+14,200000,7047.04,14.1445,7020.72,7074.13,5287,0.0469479,35746.6,3e-05,0,0.197136,0.402451,0.390194,0.591407,0.670739,20.7116,1725.92,0,5190.29,5602.79,nan,nan,0,0.607982
invd2,pbc,0.3,1,1,2,0.4,3,3,0.5,1e+15,200000,14094.5,28.2493,14039,14141.9,10578.5,0.0467406,71496,1e-05,0,0.197136,0.402451,0.390194,0.591407,0.670739,20.7116,3451.98,0,10356,11179,nan,nan,0,0.607982
invd2,pbc,0.3,1,1,2,0.4,3,3,0.5,1e+16,200000,28163.3,56.4356,28047.4,28268.6,21209,0.046775,142861,5e-06,0,0.197136,0.402451,0.390194,0.591407,0.670739,20.7116,6897.66,0,20662.9,22305.1,nan,nan,0,0.607982
invd2,pbc,0.3,1,1,2,0.4,3,3,0.5,1e+17,200000,56323.4,112.889,56119.6,56542.7,42392,0.0468913,285705,5e-06,0,0.197136,0.402451,0.390194,0.591407,0.670739,20.7116,13794.5,0,41227.9,44504.5,nan,nan,0,0.607982
invd2,pbc,0.3,1,1,2,0.4,2,2,0.5,1e+14,200000,8100.16,16.2248,8070.62,8130.61,6086,0.0465786,41089.1,3e-05,0,0.197136,0.402451,0.390194,0.394271,0.495536,20.7116,1983.87,0,7025.38,7441.63,nan,nan,0,0.675698
invd2,pbc,0.3,1,1,2,0.4,2,2,0.5,1e+15,200000,16226.2,32.566,16169,16284.6,12180,0.0468989,82310.8,1e-05,0,0.197136,0.402451,0.390194,0.394271,0.495536,20.7116,3974.15,0,14017.5,14848,nan,nan,0,0.675698
invd2,pbc,0.3,1,1,2,0.4,2,2,0.5,1e+16,200000,32371.1,64.8845,32240.4,32474.3,24280,0.0466236,164204,5e-06,0,0.197136,0.402451,0.390194,0.394271,0.495536,20.7116,7928.14,0,27968.5,29625.7,nan,nan,0,0.675698
invd2,pbc,0.3,1,1,2,0.4,2,2,0.5,1e+17,200000,64747.4,129.796,64483.9,65003.8,48670.5,0.0468162,328436,5e-06,0,0.197136,0.402451,0.390194,0.394271,0.495536,20.7116,15857.6,0,55804.6,59111,nan,nan,0,0.675698
