bc,w,F_used,t,N_traj,avg_x,C_sim,se_C_sim,alpha_fit,steps_max,steps_mean
periodic,5,0.00080000000000000004,13026356649.922096,1000,2.2869999999999999,0.17078522066664864,0,0,6233,1132.252
periodic,5,0.00080000000000000004,13068424845.537367,1000,2.5659999999999998,0.19143471171793491,0,0,7016,1212.856
periodic,5,0.00080000000000000004,13110628899.023657,1000,2.9830000000000001,0.22232955868129642,0,0,7504,1266.1020000000001
periodic,5,0.00080000000000000004,13152969249.129604,1000,2.4119999999999999,0.1795978659924185,0,0,6158,1172.184
periodic,5,0.00080000000000000004,13195446336.020767,1000,2.5289999999999999,0.18812764278355701,0,0,6820,1165.059
periodic,5,0.00080000000000000004,13238060601.284042,1000,2.7519999999999998,0.20451827925775651,0,0,6017,1199.6969999999999
periodic,5,0.00080000000000000004,13280812487.932581,1000,2.165,0.16073909439590436,0,0,5820,1200.5540000000001
periodic,5,0.00080000000000000004,13323702440.410231,1000,2.7450000000000001,0.20360380092904493,0,0,6222,1193.827
periodic,5,0.00080000000000000004,13366730904.595989,1000,1.972,0.14612696325285568,0,0,7459,1245.183
periodic,5,0.00080000000000000004,13409898327.808977,1000,2.472,0.18300031229252772,0,0,7276,1278.2260000000001
periodic,5,0.00080000000000000004,13453205158.812857,1000,2.8719999999999999,0.21240645756460089,0,0,6825,1206.221
periodic,5,0.00080000000000000004,13496651847.820614,1000,2.8399999999999999,0.20983674288581217,0,0,7417,1205.028
periodic,5,0.00080000000000000004,13540238846.49902,1000,2.2519999999999998,0.16623080138121116,0,0,8286,1245.431
periodic,5,0.00080000000000000004,13583966607.97365,1000,1.603,0.11821063512590399,0,0,6843,1176.857
periodic,5,0.00080000000000000004,13627835586.833441,1000,3.0840000000000001,0.22720470141660223,0,0,6555,1242.2650000000001
periodic,5,0.00080000000000000004,13671846239.135237,1000,2.5289999999999999,0.18613656268151343,0,0,9612,1258.018
periodic,5,0.00080000000000000004,13715999022.408875,1000,2.7810000000000001,0.20448608734967602,0,0,6507,1158.6559999999999
periodic,5,0.00080000000000000004,13760294395.661762,1000,3.7210000000000001,0.27333947902258121,0,0,5895,1276.7529999999999
periodic,5,0.00080000000000000004,13804732819.383495,1000,3.141,0.2305104107968288,0,0,6474,1287.9159999999999
periodic,5,0.00080000000000000004,13849314755.550974,1000,3.3300000000000001,0.24414439469695526,0,0,7101,1214.864
periodic,5,0.00080000000000000004,13894040667.632975,1000,2.3799999999999999,0.17432488898874454,0,0,6371,1180.556
periodic,5,0.00080000000000000004,13938911020.595098,1000,2.9060000000000001,0.21264636645300974,0,0,6803,1250.327
periodic,5,0.00080000000000000004,13983926280.904358,1000,1.748,0.1277861249343662,0,0,6573,1259.6320000000001
periodic,5,0.00080000000000000004,14029086916.53438,1000,2.694,0.1967522826522759,0,0,6749,1218.087
periodic,5,0.00080000000000000004,14074393396.970098,1000,1.891,0.13797284928845324,0,0,8521,1213.0039999999999
periodic,5,0.00080000000000000004,14119846193.21246,1000,3.1600000000000001,0.23033986225690103,0,0,7791,1309.1759999999999
periodic,5,0.00080000000000000004,14165445777.783667,1000,2.0030000000000001,0.14586224226108532,0,0,7540,1212.74
periodic,5,0.00080000000000000004,14211192624.731916,1000,2.3260000000000001,0.16921995005523979,0,0,6701,1232.2750000000001
periodic,5,0.00080000000000000004,14257087209.636156,1000,2.1869999999999998,0.15895366692276719,0,0,7099,1219.568
periodic,5,0.00080000000000000004,14303130009.61137,1000,3.4300000000000002,0.2490553091853665,0,0,7790,1290.297
periodic,5,0.00080000000000000004,14349321503.313318,1000,1.6259999999999999,0.11795113963134908,0,0,5743,1225.45
periodic,5,0.00080000000000000004,14395662170.943617,1000,2.4039999999999999,0.17421918565503641,0,0,8419,1274.6420000000001
periodic,5,0.00080000000000000004,14442152494.254507,1000,3.762,0.27237059733680258,0,0,6943,1195.1659999999999
periodic,5,0.00080000000000000004,14488792956.554201,1000,3.629,0.26248731244336349,0,0,11309,1302.6400000000001
periodic,5,0.00080000000000000004,14535584042.71175,1000,2.5,0.18065137550489516,0,0,9189,1225.193
periodic,5,0.00080000000000000004,14582526239.16189,1000,2.7450000000000001,0.19816343819978399,0,0,7102,1206.441
periodic,5,0.00080000000000000004,14629620033.910458,1000,2.6349999999999998,0.19003855326395225,0,0,7257,1316.663
periodic,5,0.00080000000000000004,14676865916.539297,1000,4.1669999999999998,0.30023720775621854,0,0,7172,1259.242
periodic,5,0.00080000000000000004,14724264378.211155,1000,2.508,0.1805296167227918,0,0,9275,1292.6279999999999
periodic,5,0.00080000000000000004,14771815911.675154,1000,2.2320000000000002,0.16050739053118834,0,0,7731,1225.077
periodic,5,0.00080000000000000004,14819521011.271673,1000,2.8199999999999998,0.20259553431058192,0,0,8112,1251.886
periodic,5,0.00080000000000000004,14867380172.937609,1000,1.78,0.12775581540747705,0,0,8550,1258.7940000000001
periodic,5,0.00080000000000000004,14915393894.21129,1000,2.508,0.17983247608247857,0,0,6398,1243.473
periodic,5,0.00080000000000000004,14963562674.23801,1000,3.0760000000000001,0.22034684626098758,0,0,7684,1139.8920000000001
periodic,5,0.00080000000000000004,15011887013.775032,1000,1.954,0.13983792893641964,0,0,6185,1260.7260000000001
periodic,5,0.00080000000000000004,15060367415.196623,1000,3.0539999999999998,0.21834807756983271,0,0,7831,1250.3720000000001
periodic,5,0.00080000000000000004,15109004382.499626,1000,3.7789999999999999,0.26992129430178274,0,0,6410,1263.8150000000001
periodic,5,0.00080000000000000004,15157798421.30847,1000,3.0579999999999998,0.21821150914532386,0,0,7269,1305.0139999999999
periodic,5,0.00080000000000000004,15206750038.880545,1000,2.944,0.20987363930692801,0,0,8260,1254.575
periodic,5,0.00080000000000000004,15255859744.111221,1000,2.7429999999999999,0.19535557584124105,0,0,6380,1293.338
periodic,5,0.00080000000000000004,15305128047.539516,1000,1.6379999999999999,0.11654504588174237,0,0,7431,1247.548
periodic,5,0.00080000000000000004,15354555461.353226,1000,1.8540000000000001,0.13178608774846914,0,0,7736,1259.5429999999999
periodic,5,0.00080000000000000004,15404142499.394039,1000,3.4980000000000002,0.24840455592571245,0,0,7114,1263.4670000000001
periodic,5,0.00080000000000000004,15453889677.163277,1000,3.6989999999999998,0.26242427075187463,0,0,8597,1334.3430000000001
periodic,5,0.00080000000000000004,15503797511.827055,1000,2.5209999999999999,0.17867855407593566,0,0,7353,1244.8440000000001
periodic,5,0.00080000000000000004,15553866522.221464,1000,2.1949999999999998,0.15542254790516127,0,0,7608,1262.5530000000001
periodic,5,0.00080000000000000004,15604097228.858358,1000,1.7629999999999999,0.12471300044446051,0,0,7623,1240.0540000000001
periodic,5,0.00080000000000000004,15654490153.930494,1000,2.5539999999999998,0.18049294227092785,0,0,6938,1333.3779999999999
periodic,5,0.00080000000000000004,15705045821.317108,1000,2.9609999999999999,0.20905360207291479,0,0,7326,1272.117
periodic,5,0.00080000000000000004,15755764756.589087,1000,2.9889999999999999,0.21082644159620176,0,0,7100,1244.127
periodic,5,0.00080000000000000004,15806647487.014826,1000,2.5609999999999999,0.18046320165450641,0,0,6520,1286.075
periodic,5,0.00080000000000000004,15857694541.565519,1000,2.661,0.18732850626445366,0,0,6508,1239.4269999999999
periodic,5,0.00080000000000000004,15908906450.920458,1000,3.3319999999999999,0.23433863954217415,0,0,8675,1267.046
periodic,5,0.00080000000000000004,15960283747.472944,1000,2.0459999999999998,0.14375549582404562,0,0,7657,1342.6849999999999
periodic,5,0.00080000000000000004,16011826965.335625,1000,2.2810000000000001,0.16011205395709807,0,0,7675,1261.741
periodic,5,0.00080000000000000004,16063536640.345848,1000,2.5840000000000001,0.18120541382196539,0,0,6806,1262.7840000000001
periodic,5,0.00080000000000000004,16115413310.07163,1000,3.3029999999999999,0.23140202182029385,0,0,7185,1280.845
periodic,5,0.00080000000000000004,16167457513.816982,1000,3.2320000000000002,0.22620898109503693,0,0,7585,1322.479
periodic,5,0.00080000000000000004,16219669792.627642,1000,3.0099999999999998,0.21046743246516472,0,0,7330,1311.1869999999999
periodic,5,0.00080000000000000004,16272050689.296438,1000,2.7650000000000001,0.19314944255624569,0,0,7061,1215.8
periodic,5,0.00080000000000000004,16324600748.369337,1000,2.3239999999999998,0.16218637353092868,0,0,7485,1305.9659999999999
periodic,5,0.00080000000000000004,16377320516.150888,1000,2.8079999999999998,0.19577411024459404,0,0,8770,1266.931
periodic,5,0.00080000000000000004,16430210540.709724,1000,1.3939999999999999,0.097095889603547661,0,0,10114,1305.2249999999999
periodic,5,0.00080000000000000004,16483271371.884642,1000,3.3039999999999998,0.22991008712454378,0,0,6620,1302.704
periodic,5,0.00080000000000000004,16536503561.290123,1000,3.7360000000000002,0.25971962725508507,0,0,7477,1338.143
periodic,5,0.00080000000000000004,16589907662.321875,1000,1.677,0.11646914355549379,0,0,10327,1254.893
periodic,5,0.00080000000000000004,16643484230.162977,1000,2.46,0.17068401193644392,0,0,8617,1307.5889999999999
periodic,5,0.00080000000000000004,16697233821.789385,1000,2.948,0.20434552454387922,0,0,6678,1296.9259999999999
periodic,5,0.00080000000000000004,16751156995.975863,1000,2.742,0.18988253354211029,0,0,8893,1339.279
periodic,5,0.00080000000000000004,16805254313.301512,1000,3.02,0.20893174245649943,0,0,7259,1304.2349999999999
periodic,5,0.00080000000000000004,16859526336.156012,1000,1.081,0.074714190122713825,0,0,7307,1310.0930000000001
periodic,5,0.00080000000000000004,16913973628.745258,1000,2.3969999999999998,0.16551042324739981,0,0,6867,1267.806
periodic,5,0.00080000000000000004,16968596757.097033,1000,2.6499999999999999,0.18280291010990307,0,0,7567,1350.556
periodic,5,0.00080000000000000004,17023396289.067282,1000,2.9489999999999998,0.2032319198354178,0,0,7349,1372.682
periodic,5,0.00080000000000000004,17078372794.345833,1000,2.3889999999999998,0.1644800437879867,0,0,10932,1316.6030000000001
periodic,5,0.00080000000000000004,17133526844.462097,1000,1.504,0.10344864711923253,0,0,9210,1361.9580000000001
periodic,5,0.00080000000000000004,17188859012.791428,1000,1.401,0.096270899678067026,0,0,6678,1294.951
periodic,5,0.00080000000000000004,17244369874.56081,1000,3.5089999999999999,0.24089078082245191,0,0,6308,1344.45
periodic,5,0.00080000000000000004,17300060006.854969,1000,2.3879999999999999,0.16377629780355182,0,0,7234,1331.723
periodic,5,0.00080000000000000004,17355929988.622105,1000,3.746,0.25666367960036518,0,0,6116,1260.3409999999999
periodic,5,0.00080000000000000004,17411980400.680317,1000,4.2249999999999996,0.28920331873334654,0,0,8407,1332.626
periodic,5,0.00080000000000000004,17468211825.723438,1000,3.0600000000000001,0.20925599141008727,0,0,8375,1312.9059999999999
periodic,5,0.00080000000000000004,17524624848.326881,1000,2.1539999999999999,0.14715739456737295,0,0,10183,1313.2750000000001
periodic,5,0.00080000000000000004,17581220054.95414,1000,2.625,0.17916188156508583,0,0,6933,1322.72
periodic,5,0.00080000000000000004,17637998033.962669,1000,2.3500000000000001,0.16023747223287524,0,0,7589,1340.6320000000001
periodic,5,0.00080000000000000004,17694959375.609798,1000,2.3090000000000002,0.15728962315245085,0,0,9389,1382.194
periodic,5,0.00080000000000000004,17752104672.05928,1000,2.444,0.16632489446457047,0,0,7399,1325.5
periodic,5,0.00080000000000000004,17809434517.387169,1000,2.9049999999999998,0.19750682504106687,0,0,6998,1314.088
periodic,5,0.00080000000000000004,17866949507.588154,1000,3.1859999999999999,0.21640219342654318,0,0,7058,1303.5039999999999
periodic,5,0.00080000000000000004,17924650240.581436,1000,3.6469999999999998,0.24747513295376555,0,0,6192,1266.681
periodic,5,0.00080000000000000004,17982537316.2174,1000,2.9249999999999998,0.19829035456238678,0,0,7417,1353.626
periodic,5,0.00080000000000000004,18040611336.283638,1000,4.3289999999999997,0.29318599483839075,0,0,7300,1425.28
periodic,5,0.00080000000000000004,18098872904.51096,1000,3.1459999999999999,0.2128601035902345,0,0,8047,1295.941
periodic,5,0.00080000000000000004,18157322626.580135,1000,2.2559999999999998,0.15249463408134997,0,0,9189,1352.962
periodic,5,0.00080000000000000004,18215961110.12796,1000,2.637,0.17807604953309264,0,0,7514,1336.231
periodic,5,0.00080000000000000004,18274788964.753345,1000,3.1520000000000001,0.21264810047982197,0,0,8498,1331.5429999999999
periodic,5,0.00080000000000000004,18333806802.024109,1000,2.4409999999999998,0.16452162643708171,0,0,7442,1366.2660000000001
periodic,5,0.00080000000000000004,18393015235.483032,1000,3.5419999999999998,0.23849742127883036,0,0,7894,1404.9000000000001
periodic,5,0.00080000000000000004,18452414880.654392,1000,3.0990000000000002,0.20846666706614997,0,0,7575,1343.4860000000001
periodic,5,0.00080000000000000004,18512006355.050045,1000,1.673,0.11243225047924135,0,0,7033,1341.8820000000001
periodic,5,0.00080000000000000004,18571790278.176319,1000,2.883,0.19356174162348772,0,0,8211,1336.6279999999999
periodic,5,0.00080000000000000004,18631767271.540215,1000,2.9769999999999999,0.19967956843891149,0,0,9440,1305.713
periodic,5,0.00080000000000000004,18691937958.655632,1000,3.9529999999999998,0.26488753693978079,0,0,8870,1377.7049999999999
periodic,5,0.00080000000000000004,18752302965.050335,1000,2.653,0.17760364582609198,0,0,8396,1461.6859999999999
periodic,5,0.00080000000000000004,18812862918.272118,1000,3.1509999999999998,0.21073804453168421,0,0,7514,1333.8099999999999
periodic,5,0.00080000000000000004,18873618447.895504,1000,3.0489999999999999,0.20371916293493142,0,0,6357,1357.854
periodic,5,0.00080000000000000004,18934570185.527973,1000,1.4510000000000001,0.096854942377360378,0,0,10338,1317.011
periodic,5,0.00080000000000000004,18995718764.816994,1000,3.5950000000000002,0.23973596163919789,0,0,7467,1345.1130000000001
periodic,5,0.00080000000000000004,19057064821.456379,1000,2.512,0.16735313089106627,0,0,7141,1310.827
periodic,5,0.00080000000000000004,19118608993.192665,1000,2.444,0.16266545194920906,0,0,8205,1403.5050000000001
periodic,5,0.00080000000000000004,19180351919.832191,1000,2.641,0.17560724913563919,0,0,7283,1351.1679999999999
periodic,5,0.00080000000000000004,19242294243.247547,1000,4.149,0.27561153469222921,0,0,7052,1324.0899999999999
periodic,5,0.00080000000000000004,19304436607.383976,1000,2.7949999999999999,0.18548794201957272,0,0,8892,1323.7919999999999
periodic,5,0.00080000000000000004,19366779658.266575,1000,3.2959999999999998,0.21852492988048292,0,0,8532,1387.009
periodic,5,0.00080000000000000004,19429324044.006668,1000,3.956,0.26202937770192064,0,0,8447,1427.704
periodic,5,0.00080000000000000004,19492070414.808716,1000,2.9049999999999998,0.19222937557880174,0,0,7973,1284.2159999999999
periodic,5,0.00080000000000000004,19555019422.976757,1000,1.9419999999999999,0.12838159294169196,0,0,8658,1359.5889999999999
periodic,5,0.00080000000000000004,19618171722.921658,1000,2.1779999999999999,0.14384385907050479,0,0,8826,1420.595
periodic,5,0.00080000000000000004,19681527971.16769,1000,3.129,0.20645192162965265,0,0,6920,1382.4190000000001
periodic,5,0.00080000000000000004,19745088826.359104,1000,3.0640000000000001,0.20196775748531789,0,0,8815,1375.5260000000001
periodic,5,0.00080000000000000004,19808854949.267467,1000,2.1960000000000002,0.14461240014089047,0,0,6656,1339.9480000000001
periodic,5,0.00080000000000000004,19872827002.798283,1000,3.4569999999999999,0.22743248359165807,0,0,10015,1305.807
periodic,5,0.00080000000000000004,19937005651.997639,1000,3.7879999999999998,0.24896769624996024,0,0,7616,1372.874
periodic,5,0.00080000000000000004,20001391564.059624,1000,2.3919999999999999,0.15706308433303143,0,0,10275,1360.7670000000001
periodic,5,0.00080000000000000004,20065985408.332912,1000,3.5110000000000001,0.23031577856821447,0,0,9052,1366.6669999999999
periodic,5,0.00080000000000000004,20130787856.327911,1000,2.1739999999999999,0.14247291762655725,0,0,7531,1365.847
periodic,5,0.00080000000000000004,20195799581.7234,1000,2.4870000000000001,0.16282777169554713,0,0,7272,1355.3989999999999
periodic,5,0.00080000000000000004,20261021260.374023,1000,2.379,0.15560625561776015,0,0,7556,1376.672
periodic,5,0.00080000000000000004,20326453570.317085,1000,3.4449999999999998,0.22511360999622418,0,0,10053,1426.7739999999999
periodic,5,0.00080000000000000004,20392097191.779331,1000,3.9079999999999999,0.25512146334783575,0,0,7889,1436.2629999999999
periodic,5,0.00080000000000000004,20457952807.184536,1000,3.2989999999999999,0.21515660051413857,0,0,6585,1334.249
periodic,5,0.00080000000000000004,20524021101.160328,1000,2.5299999999999998,0.16484386757148672,0,0,11902,1339.1220000000001
periodic,5,0.00080000000000000004,20590302760.545082,1000,3.4849999999999999,0.22684800938690544,0,0,7180,1417.3820000000001
periodic,5,0.00080000000000000004,20656798474.395535,1000,1.8839999999999999,0.12251605514427601,0,0,6689,1386.0920000000001
periodic,5,0.00080000000000000004,20723508933.993626,1000,3.0390000000000001,0.19743435362600442,0,0,8007,1364.4280000000001
periodic,5,0.00080000000000000004,20790434832.853859,1000,2.8140000000000001,0.18264005583776882,0,0,7431,1389.029
periodic,5,0.00080000000000000004,20857576866.730167,1000,2.9100000000000001,0.18868824414281293,0,0,8876,1360.4680000000001
periodic,5,0.00080000000000000004,20924935733.623638,1000,2.5779999999999998,0.16699931245666919,0,0,7151,1323.2840000000001
periodic,5,0.00080000000000000004,20992512133.789551,1000,3.5099999999999998,0.22715317034168478,0,0,10359,1375.7940000000001
periodic,5,0.00080000000000000004,21060306769.744366,1000,3.1560000000000001,0.20404624012922465,0,0,6398,1345.7159999999999
periodic,5,0.00080000000000000004,21128320346.273563,1000,3.1560000000000001,0.20384896587137483,0,0,6499,1331.386
periodic,5,0.00080000000000000004,21196553570.438698,1000,2.4470000000000001,0.15790119014173978,0,0,9218,1375.124
periodic,5,0.00080000000000000004,21265007151.584499,1000,3.488,0.2248577322119869,0,0,8495,1365.5319999999999
periodic,5,0.00080000000000000004,21333681801.346771,1000,2.762,0.17788320276545072,0,0,9023,1406.048
periodic,5,0.00080000000000000004,21402578233.659424,1000,1.03,0.066271745087193773,0,0,8141,1444.239
periodic,5,0.00080000000000000004,21471697164.762089,1000,3.649,0.23455514373462241,0,0,7146,1459.9559999999999
periodic,5,0.00080000000000000004,21541039313.207203,1000,2.891,0.18565177491946863,0,0,6939,1377.6020000000001
periodic,5,0.00080000000000000004,21610605399.868011,1000,3.286,0.2108135341874405,0,0,9271,1364.9259999999999
periodic,5,0.00080000000000000004,21680396147.945793,1000,2.3159999999999998,0.14843947203546096,0,0,9648,1451.73
periodic,5,0.00080000000000000004,21750412282.977119,1000,3.8610000000000002,0.24722396280742417,0,0,7894,1339.4849999999999
periodic,5,0.00080000000000000004,21820654532.841923,1000,4.7270000000000003,0.30238224021796684,0,0,7791,1459.8040000000001
periodic,5,0.00080000000000000004,21891123627.770805,1000,2.3780000000000001,0.15197160290593065,0,0,9899,1445.7639999999999
periodic,5,0.00080000000000000004,21961820300.352348,1000,2.859,0.18253437588199586,0,0,10953,1399.037
periodic,5,0.00080000000000000004,22032745285.541279,1000,3.7650000000000001,0.24014602720452197,0,0,8217,1333.009
periodic,5,0.00080000000000000004,22103899320.665745,1000,3.403,0.21684643713812349,0,0,8305,1401.508
periodic,5,0.00080000000000000004,22175283145.435162,1000,2.9409999999999998,0.18722562211107308,0,0,8243,1409.866
periodic,5,0.00080000000000000004,22246897501.947548,1000,2.081,0.13234948448461234,0,0,9935,1447.0419999999999
periodic,5,0.00080000000000000004,22318743134.697758,1000,4.2610000000000001,0.27073326697690175,0,0,8965,1360.5599999999999
periodic,5,0.00080000000000000004,22390820790.584991,1000,2.641,0.1676402913637112,0,0,9157,1448.3489999999999
periodic,5,0.00080000000000000004,22463131218.920238,1000,2.8380000000000001,0.17997091010741795,0,0,8681,1384.318
periodic,5,0.00080000000000000004,22535675171.434654,1000,2.391,0.15147794819083646,0,0,7075,1421.9590000000001
periodic,5,0.00080000000000000004,22608453402.287083,1000,2.7389999999999999,0.17335716094825029,0,0,9037,1502.877
periodic,5,0.00080000000000000004,22681466668.071621,1000,2.5030000000000001,0.15826705432158542,0,0,7556,1333.4059999999999
periodic,5,0.00080000000000000004,22754715727.826035,1000,3.02,0.19077283281005028,0,0,8635,1422.039
periodic,5,0.00080000000000000004,22828201343.039291,1000,2.02,0.12747965254954252,0,0,7629,1434.2270000000001
periodic,5,0.00080000000000000004,22901924277.659653,1000,2.7709999999999999,0.17470524494817619,0,0,8588,1410.211
periodic,5,0.00080000000000000004,22975885298.102249,1000,2.556,0.16099418248991909,0,0,7712,1446.5899999999999
periodic,5,0.00080000000000000004,23050085173.257607,1000,2.6360000000000001,0.16587260130002154,0,0,7405,1412.9770000000001
periodic,5,0.00080000000000000004,23124524674.499344,1000,4.1390000000000002,0.26019838221458669,0,0,8773,1471.1959999999999
periodic,5,0.00080000000000000004,23199204575.691944,1000,3.161,0.19852425614427321,0,0,8641,1464.915
periodic,5,0.00080000000000000004,23274125653.199326,1000,1.1699999999999999,0.07340993834448957,0,0,8335,1463.6780000000001
periodic,5,0.00080000000000000004,23349288685.892567,1000,3.8730000000000002,0.24277077825012189,0,0,9380,1448.251
periodic,5,0.00080000000000000004,23424694455.158176,1000,3.496,0.21892746761149509,0,0,9348,1434.598
periodic,5,0.00080000000000000004,23500343744.90583,1000,1.9119999999999999,0.1196180266286152,0,0,8115,1436.2139999999999
periodic,5,0.00080000000000000004,23576237341.577118,1000,2.3250000000000002,0.14531539231597135,0,0,7546,1428.904
periodic,5,0.00080000000000000004,23652376034.153404,1000,1.998,0.12475675253273449,0,0,8132,1440.4079999999999
periodic,5,0.00080000000000000004,23728760614.163761,1000,3.4889999999999999,0.21764538510077822,0,0,8263,1439.0229999999999
periodic,5,0.00080000000000000004,23805391875.693768,1000,2.5230000000000001,0.15723370929539779,0,0,8318,1484.0239999999999
periodic,5,0.00080000000000000004,23882270615.393467,1000,1.0580000000000001,0.065870960039725229,0,0,9244,1427.405
periodic,5,0.00080000000000000004,23959397632.485382,1000,2.1930000000000001,0.13640392683603444,0,0,8554,1351.0409999999999
